,audio_path,machine,year,domain,attribute,label
0,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0000_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
1,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0001_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
2,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0002_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
3,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0003_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
4,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0004_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
5,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0005_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
6,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0006_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
7,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0007_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
8,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0008_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
9,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0009_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
10,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0010_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
11,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0011_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
12,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0012_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
13,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0013_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
14,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0014_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
15,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0015_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
16,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0016_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
17,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0017_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
18,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0018_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
19,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0019_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
20,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0020_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
21,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0021_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
22,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0022_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
23,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0023_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
24,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0024_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
25,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0025_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
26,/mnt/storage1/asd/2025/data/ToyTrain/train/section_00_source_train_normal_0026_noAttribute.wav,ToyTrain,2025,source,noAttribute,ToyTrain_source_noAttribute
